gyroX,gyroY,gyroZ,accX,accY,accZ,pitch,roll,yaw,type
1125.37,181.52,-474.73,3.1,4.76,7.78,7.91,171.31,70.46,1
1235.96,553.96,-83.92,-0.45,6.68,7.94,-12.59,-144.16,62.48,1
1138.24,595.52,206.97,-0.71,7.69,7.94,-14.5,-99.11,38.49,1
893.86,489.56,332.95,-1.24,7.13,7.94,0.3,-66.76,24.79,1
620.06,275.88,326.84,-1.9,4.27,7.94,13.95,-43.8,26.79,1
448.91,28.69,262.21,-1.19,3.46,7.94,14.91,-23.24,36.67,1
369.45,-180.24,159.06,-0.03,2.53,7.68,6.33,-6.44,44.9,1
359.19,-271.18,150.57,0.73,1.38,7.54,-4.86,8.7,51.03,1
386.47,-242.37,193.18,1.04,1.25,7.72,-15.12,23.71,57.83,1
421.57,-141.24,279.97,1.07,1.26,7.67,-24.31,36.62,67.92,1
419.25,-44.62,377.5,0.31,1.65,7.27,-34.72,44.71,82.24,1
392.21,-8,429.14,-0.48,1.81,6.6,-46.65,46.91,99.08,1
331.05,-33.87,454.71,-1.15,1.94,6.1,-59.18,43.04,117.9,1
273.5,-104.19,418.52,-1.42,1.97,5.8,-70.77,30.85,141.14,1
209.47,-163.64,358.89,-1.4,1.66,5.48,-78.51,-7.11,-171.68,1
170.47,-201.78,310.97,-1.32,0.91,5.05,-76.83,-66.25,-104.72,1
137.57,-228.09,264.89,-1.07,0.38,4.62,-68.18,-89.86,-74.46,1
123.29,-224.85,243.9,-0.94,0.13,4.29,-58.48,-96.59,-61.09,1
111.27,-207.7,221.74,-0.79,-0.13,3.86,-48.78,-97.76,-52.8,1
111.69,-181.58,214.9,-0.57,-0.26,3.56,-39.33,-95.91,-46.98,1
113.53,-160.83,216.25,-0.4,-0.26,3.4,-29.99,-92.08,-42.56,1
118.16,-127.56,232.42,-0.25,-0.19,3.22,-20.25,-87.08,-38.78,1
118.16,-99.67,253.85,-0.25,-0.15,2.97,-10.09,-81.34,-34.63,1
119.14,-92.04,268.07,-0.38,-0.12,2.72,0.24,-74.72,-29.07,1
125.37,-99.61,279.3,-0.43,-0.03,2.65,9.81,-66.79,-21.53,1
126.95,-106.26,285.1,-0.26,0.25,2.59,17.92,-57.32,-11.88,1
116.82,-105.1,288.76,-0.13,0.5,2.46,24.52,-47,-0.07,1
84.72,-97.11,301.03,-0.12,0.68,2.38,29.32,-35.78,13.83,1
60.67,-88.5,310.3,-0.14,0.79,2.16,32.28,-24.23,29.48,1
34.3,-78.61,319.46,-0.12,0.85,1.87,32.64,-12.87,45.96,1
22.46,-75.68,319.64,-0.11,0.82,1.61,30.45,-2.42,61.89,1
23.86,-75.38,312.26,-0.07,0.74,1.42,25.82,6.51,76.06,1
40.77,-87.89,300.23,0,0.66,1.2,19.15,14.07,88.18,1
78.55,-94.73,288.94,0.14,0.63,1.11,11.09,20.79,98.38,1
108.34,-94.73,280.4,0.25,0.56,1.05,2.31,26.87,107.04,1
143.13,-90.03,270.45,0.35,0.58,1,-6.62,33.41,114.27,1
190.55,-81.36,249.82,0.46,0.6,0.93,-15.64,40.36,120.18,1
226.81,-75.56,236.02,0.59,0.66,0.91,-24.44,48.41,124.87,1
264.47,-61.89,220.28,0.69,0.76,0.88,-33.01,57.22,128.81,1
287.29,-50.48,213.2,0.79,0.87,0.85,-41.16,66.82,132.01,1
314.33,-26.98,210.69,0.81,0.96,0.82,-49.06,76.81,135.15,1
321.96,-7.14,210.21,0.86,1.02,0.84,-56.77,86.45,138.6,1
327.27,22.34,208.92,0.92,1.1,0.83,-64.44,95.46,142.52,1
327.88,46.39,205.32,0.94,1.15,0.84,-71.91,101.72,148.94,1
322.08,77.09,200.87,0.97,1.29,0.83,-79.15,100.47,162.01,1
292.36,99.12,203.43,0.97,1.37,0.86,-84.31,53.14,-140.5,1
247.62,132.39,217.35,0.98,1.35,0.91,-79.68,-20.32,-54.95,1
208.13,160.83,235.41,1.02,1.33,0.87,-69.55,-28.43,-38.96,1
157.35,197.14,255.68,0.98,1.32,0.82,-57.6,-29.08,-31.76,1
109.68,224.49,259.77,0.88,1.28,0.75,-45.24,-27.84,-27.37,1
73.85,240.11,243.77,0.64,1.29,0.67,-33.39,-25.87,-24.61,1
40.83,235.29,202.7,0.49,1.24,0.59,-22.41,-23.73,-22.56,1
16.97,221.5,166.08,0.35,1.15,0.57,-12.6,-21.78,-21.05,1
-4.39,202.51,128.23,0.19,0.96,0.57,-4.29,-20.42,-20.39,1
-29.17,180.79,85.94,0.13,0.84,0.55,3.08,-19.61,-20.11,1
-42.24,163.76,57.43,0.09,0.7,0.56,9,-19.47,-20.57,1
-50.9,144.78,26.37,0.15,0.53,0.6,13.63,-19.99,-21.7,1
-57.07,134.22,4.88,0.23,0.47,0.59,17.56,-20.97,-23.12,1
-61.89,127.2,-3.05,0.31,0.41,0.64,21,-22.5,-24.66,1
-73.79,125.43,-1.77,0.44,0.39,0.79,24.34,-25.1,-26.13,1
-99.06,145.51,13.85,0.6,0.39,0.88,28.54,-28.75,-27.8,1
-117.19,172.06,23.8,0.73,0.45,0.8,33.83,-33.82,-30.39,1
-135.25,195.37,19.9,0.7,0.47,0.69,38.94,-40.38,-34.47,1
-140.99,197.88,3.11,0.53,0.37,0.58,42.88,-48.55,-40.42,1
-137.33,193.42,-15.56,0.37,0.24,0.48,45.12,-57.48,-47.66,1
-125.73,176.64,-34.36,0.3,0.11,0.4,45.32,-66.4,-55.4,1
-105.9,156.68,-52.19,0.27,0.11,0.27,44.34,-74.07,-62.34,1
-93.99,128.05,-67.81,0.23,0.02,0.29,41.25,-80.24,-67.9,1
-81.73,107.67,-66.96,0.27,-0.14,0.33,37.43,-85.08,-72.24,1
-74.28,98.27,-69.34,0.44,-0.08,0.29,32.96,-89.22,-76.01,1
-72.14,90.76,-75.07,0.59,-0.1,0.29,27.88,-93.79,-79.78,1
-84.23,89.9,-72.57,0.72,-0.07,0.41,22.81,-97.78,-83.34,1
-92.1,112.73,-60.18,0.71,-0.09,0.4,17.97,-102.09,-87.39,1
-98.33,124.39,-52.8,0.74,-0.07,0.35,12.69,-106.32,-91.63,1
-100.34,132.93,-52.37,0.74,-0.13,0.37,7,-109.99,-95.86,1
-94.73,142.03,-51.64,0.77,-0.19,0.34,0.94,-112.94,-100.29,1
-83.25,144.1,-52.06,0.77,-0.24,0.36,-5.23,-114.76,-104.76,1
-69.09,148.74,-47.12,0.76,-0.19,0.39,-11.51,-115.41,-109.73,1
-52.73,158.45,-46.33,0.79,-0.22,0.38,-17.81,-115,-115.15,1
-75.32,-52.12,-91.49,-0.29,1.85,1.06,34.18,7.89,-104.9,1
-92.71,-60.67,-89.23,-0.32,1.88,1.06,31.3,3.3,-108.28,1
-119.08,-84.53,-92.71,-0.4,1.92,1.07,27.54,-1.69,-111.45,1
-140.99,-103.45,-94.79,-0.49,2.05,1.12,22.93,-7.04,-114.22,1
-165.47,-125.98,-101.26,-0.55,2.16,1.16,17.17,-12.85,-116.7,1
-188.29,-151.06,-108.7,-0.53,2.22,1.17,10.16,-19.06,-118.65,1
-211.79,-177.19,-119.26,-0.47,2.28,1.32,1.53,-26.03,-120.06,1
-237.43,-203.25,-138.55,-0.34,2.31,1.37,-8.61,-33.66,-120.9,1
-258.79,-224.24,-157.84,-0.21,2.32,1.46,-19.64,-41.92,-120.76,1
-268.62,-234.38,-170.04,-0.09,2.34,1.52,-31.14,-51.2,-119.28,1
-265.2,-232.42,-176.39,0.04,2.27,1.65,-42.37,-61.82,-115.98,1
-261.78,-223.57,-180.24,0.14,2.36,1.71,-53.25,-75.41,-109.65,1
-258.61,-213.01,-189.76,0.12,2.39,1.73,-62.89,-95.43,-96.98,1
-260.5,-209.96,-190.37,0.12,2.44,1.75,-68.7,-128.01,-72.33,1
-267.52,-205.93,-183.65,0.19,2.57,1.8,-67.61,-167.93,-41.45,1
-276.12,-202.15,-177,0.25,2.66,1.82,-60.51,162.58,-22.01,1
-287.05,-199.1,-176.45,0.29,2.75,1.82,-50.56,142.95,-13.69,1
-299.26,-201.23,-181.76,0.34,2.8,1.8,-39.65,128.13,-11.88,1
-335.39,-219.3,-175.17,0.24,2.97,1.73,-28.9,114.36,-15.4,1
-381.65,-239.5,-158.02,0.19,2.98,1.51,-19.7,99.8,-23.11,1
-440.61,-271.61,-133.36,0.14,2.88,1.38,-13.84,83.74,-34.12,1
-481.57,-302,-112,0.16,2.77,1.48,-12.49,66.42,-47.19,1
-521.3,-332.28,-100.34,0.38,2.74,1.43,-16.32,48.48,-61.04,1
-570.43,-366.7,-87.16,0.44,2.66,1.54,-25.5,30.24,-73.75,1
-624.94,-392.82,-61.22,0.57,2.57,1.61,-38.98,10.81,-83.06,1
-700.44,-413.33,-26.25,0.63,2.48,1.65,-54.82,-16.07,-84.06,1
-772.52,-423.58,5.62,0.68,2.13,1.68,-67.51,-62.64,-64.98,1
-826.48,-421.69,31.68,0.72,1.96,1.71,-65.85,-130.24,-26.75,1
-891.3,-413.82,61.1,0.67,1.94,1.7,-52.78,-175.22,-15.65,1
-953.49,-400.76,84.17,0.62,1.9,1.51,-39.93,151.39,-22.62,1
